userName,score,at,content
AL,1,2024-09-17 15:58:51,"Pernah jual beli hape lewat buka lapak, dulu pesaing tokopedia dan lazada. Sekarang beralih jualan aksesoris fashion, di sini trafik sangat sepi. Keruntuhan bukalapak sejak blunder dari ceo nya. Lalu arah tujuan ecommerce jadi tidak jelas. Padahal jika biaya admin, iklan dan promo dimurahin, yang penting bisa dapet trafik dan nguasain pasar enak. Tapi, ya... begitulah... Tinggal menunggu waktu aja"
Agus Suhendar,1,2024-09-17 14:24:18,"Aplikasi ini tida aman,2x dana saya dibobol sama bukalapak.👎👎👎👎banyak maling nyusup di aplikasi ini"
Eko Susanto,5,2024-09-17 12:49:12,yang dapat serbu seru foto profilnya kok sama ya cuma nama akun yang beda apa sebuah kebetulan aja pakai foto profil yang sama hmmmmm kapan yang lain bisa ikut dapat.😄😄😄
Phyterzen Hamka,1,2024-09-17 05:40:08,"Tinggal nunggu colab Voucher pembeli susah ongkir gak bersaing. Sebagai seller admin fee nya kelewatan melebihi untung kita sebagai penjual Saya untung 50 RB admin fee nya 180rb dari transaksi 3jt, Saya berhenti menjadi seller dan buyer."
Maul Cell,4,2024-09-16 23:24:19,Baguss
Nur Pajri,1,2024-09-16 18:40:27,Saldo dana saya di sedot.oleh apk bukalapak. Padahal ga ada transaksi. Mohon itikad baik nya . Ini gmn refund nya . Saya butuh dana itu
Muhammad Dimyati,1,2024-09-16 17:17:54,"Tolonglah Saldo Mitra digabungkan lagi sama Saldo Bukalapak, kalo ada masalah uang nyangkut atau pengembalian Dana biar bisa di ambil/di kirim ke DANA. Masa kalo pengembalian Dana saldo nyangkut di Mitra 🤦🏻🤦🏻"
sopyan hadi,4,2024-09-16 15:27:10,Ga ada voucher
Suriati 1984,5,2024-09-16 15:20:30,Senang menggunakan aplikasi ini bisa bebas pilih jasa pengiriman dan pengalaman berbelanja menyenangkan
Dina Nurvita,1,2024-09-16 12:58:16,Ini buka lapak apa2 maksudnya ngambil saldo dana saya hah padahal saya tidak pernah daftar saldo yang terambil lumayan loh 400rebu
Aan Anwar,3,2024-09-16 11:05:24,semoga semakin di depan
Baya agus priant,1,2024-09-16 10:35:02,"Dulu cetak resi tinggal klik keluar bentuk nya,mau diprint gampang,sekarang nggak bisa jadinya ditulis manual"
Zaini Aceh,5,2024-09-16 03:11:18,Bukalapak paling ok
ayat meini,5,2024-09-15 17:13:46,super cepat
Putri Cantika,2,2024-09-15 15:55:10,"Wah Beneran Parah Dii BukaLapak, Di Pemberitahuan Email Sudah Terdaftar Jadi Pelapak Tapi Tidak Bisa Upload Produk, Buat Apa Kalau Diterima Jadi Pelapak Kalau Tidak Bisa Upload Produk. Sia² Daftar Kalau Begini Pakai Data Pribadi, Kalau Tau Seperti Ini Mending Tidak Usah Daftar. Chat Seller Ya Juga Paling Susah"
Sitti Aminah,1,2024-09-15 14:26:35,Saya mau mengajukan komplain. Jangan ada yang daftar di bukalapak. Karna akun kita secara otomatis banyak yang di retas oleh pihak bukalapak. Data data kita masih tersimpan dengan gampang di retas dan disalahgunakan
Gembala Ternak,1,2024-09-15 13:11:24,Saya dulu penggemar belanja barang di bukalapak. Tapi sayang sekarang aplikasi ini tidak bisa bersaing dengan aplikasi belanja yg lain. Itu semua karna ongkir mahal dan tidak ada diskon yang besar.
Pengguna Google,5,2024-09-15 12:36:34,"Bukalapak tidak usah malu meniru aplikasi shopee atau Tokopedia yg lebih muda dari pada saat ini Bukalapak begitu bertele2 dalam dalam meng upload barang jualan terutama yg berurusan dengan varian,"
zacky hosny,2,2024-09-15 06:44:47,Tidak ada buka bantuan live chat kami tiap upload produk hanya muncul kategori Vape padahal gak jualan Vape jadi tidak bisa pake kategori lain mohon dibantu jangan didiamkan aja
Kageyama Assegaf,1,2024-09-15 05:06:53,"Makin sini makin gak seneng sma BL, akun tiba2 di non aktif alasan keamanan yg gak jelas, sudah lama belanja di sini mrasa dirugikan gegara akun hilang, balikin akun malah persyaratannya ribet."
Dok Ariz,1,2024-09-15 04:15:16,NOTIF SPAAMMMMMMM!!!! GANGGU ORANGG AJA
Masa Depanku,1,2024-09-14 23:59:50,"saran aja buat kalian tim pengembang bukalapak, klaim voucher gausah pake copy paste, langsung aja bisa claim terus bisa dipakai inilah yg bikin males pengguna harus bolak balik liat voucher krna bisanya copy paste"
Ato Surya,1,2024-09-14 21:11:40,"BUKALAPAK SANGAT MENGECEWAKAN, ADA TRANSAKSI YANG TIDAK JELAS DAN TIDAK SAYA KETAHUI, TAPI LANGSUNG POTONG SALDO. SAAT DIKONFIRMASI, PIHAK BUKALAPAK SANGAT BERTELE-TELE DAN TIDAK BERTANGGUNGJAWAB, DENGAN ALASAN UANG SUDAH TIDAK ADA DI BUKALAPAK. SETAHU SAYA, PEMBAYARAN KE MERCHANT TIDAK LANGSUNG PADA HARI YANG SAMA. TRANSAKSI ILLEGAL TERJADI JAM 7 PAGI, SAYA KOMPLAIN JAM 10 PAGI PADA HARI YANG SAMA. BUKALAPAK MELINDUNGI MERCHANT PENIPU DAN TIDAK JELAS. MENGECEWAKAN."
Umar ali Umar,2,2024-09-14 17:46:18,2bintag
Heri Ajah,2,2024-09-14 15:38:30,Saya komplain berkali-kali tidak ditanggapi sama sekali... Chat cs jg ga ada manfaatnya... Kecewa sama Bukalapak yang sekarang padahal dulu masih bagus pelayanannya 😩😩
defri riyadi,5,2024-09-14 14:37:23,Sangat memuaskan
Benz,5,2024-09-14 14:01:49,Terdeteksi
Abdul Rohman,5,2024-09-14 11:36:11,ok trbaik
Arbani Sierantau,5,2024-09-14 11:20:58,Sangat membantu dan bermanfaat
Aziez Abeba,5,2024-09-14 11:10:56,Mantaaabbb
Flame Stell,1,2024-09-14 10:02:55,"Data email saya terekspos setelah cek di "" i have been pawn"" semenjak daftar akun di aplikasi ini buat teman"" yg ingin daftar harap berhati"" agar data anda tidak disalahgunakan oleh pihak yg yidak bertanggungjawab miris liat sistem keamanan aplikasi tidak safety buat keamanan penggunanya"
CHUNTERTECH,1,2024-09-14 07:40:46,"Pelayanan sekarang jadi bangs**(buruk banget) bukabantuan belum kelar baru setengah komplain udah di putus paksa oleh CS nya. Real mending jadi seller UNGU, ORANGE, IJO, BIRU ketimbang samp4h amp4s ini...!!!!!!!!!!!!"
MUHAMAD SYAFII,1,2024-09-14 06:18:53,"semakin banyak asuransi ini itu, gratis ongkir kebanyakan syarat"
Yogi 123,2,2024-09-14 04:24:55,Lapor min aplikasi bukak lapak curi saldo dana sya 900rb
Anak Petani,1,2024-09-14 03:02:08,Bukalapak ok
niroh Kuphle,5,2024-09-14 01:12:19,"Aplikasi oke, tercepat dan transaksi mudah ... Thankyou"
Megan,1,2024-09-13 16:06:53,bukalapak ditutup aja mending. banyak bug gak jelas
Adez Akka,1,2024-09-13 12:52:25,Parah parah . Susahnya interaksi bantuan. Makin kesini makin parah aja nih. Mana paylaternya dqh beberapa bulan ini gak bisa dipakai. Gangguan siistem terus. Uninstal aja deh.
Refky Irawan (Refky),1,2024-09-13 11:34:17,"Aplikasi busuk,Ampas, ganti password suruh hubungi buka bantuan udah dihubungi eh tetap ga bisa, dana dibekukan alasan fraud gak jelas , mau hapus akun ga bisa karena masih ada saldo buka emas mau jual emasnya suruh masukin password sedangkan password lupa dan ga bisa ganti, app Lol."
Anwar el-sadat,1,2024-09-13 11:30:05,"Hati-hati kalau bisa jangan belanja disini, sarang penipuan"
TheF00L,1,2024-09-13 09:12:02,"Ol shop ga jelas. Kendala barang di ekspedisi sampai di kembalikan sama seller nya lagi. Di minta retur sama CS nya bilang ngomong sama toko nya, tokonya di tanyakan, jawaban nya sama, sampai 3 kali kayak gitu, jawabanya cuman di lembar lembar ajh. Rugi 600k . Sudah 1 tahun pun barang nya ga nyampe, minta uang nya kembali ikutin prosedur, malah di lempar sana sini. Ga jelas anda buka lapak. Menyesal saya belanja di tempat anda."
purnadi sulismi,5,2024-09-12 22:56:45,Bagus transaksi lebih lengkap dan cepat jarang lemot..
muh arifriansyah,5,2024-09-12 16:59:54,Cocok kalau ada Vape
Odih Driver,5,2024-09-12 13:59:34,Amanah dan cepat responnya
Dani Damara,1,2024-09-12 11:18:34,Aplikasi gk jls
Den Mpo,1,2024-09-12 10:29:37,"Nama kami dulu besar di sini, performa lapak sangat bagus, namun sangat di sayangkan semnjak ada vrifikasi data, CS kurang bisa membantu, akun seller di bekukan sepihak gara² verifikasi selalu gagal dan tidak ada bantuan secara serius dari BL, namun tak jadi masalah, masih ada yg lain, Saya banyak terima kasih kepada BL yg telah membesarkan Nama Kami. BL seller / buyer makin Mahal ☝️Mari Kita lihat.? Apakah apk ini bisa bertahan atau malah di tinggalkan pengguna..??"
FotoCopy Prin ATK SimpleNet,5,2024-09-12 07:58:47,Ok
ra sider,5,2024-09-12 07:36:20,Sangat membantu
Herupit,5,2024-09-12 06:46:54,sebetulnya enak jg belanja atau berjualan di buka lapak..sayang sekarang udah gak se ramai dulu..coba deh kasih promo yg menarik pembeli biar rame kayak dulu..
Hanhan Driawan,3,2024-09-12 03:12:07,Susah masuk
Willi Lumiu,5,2024-09-12 02:34:05,Great Application 👍
Adzqia chanel,1,2024-09-12 01:52:40,"Bukalapak saya mohon kembalikan dana saya,saya tidak merasa pesan apapu tapi kenapa ada transaksi dari bukalapak dan uang saya ke ambil otomatis"
listiyono,5,2024-09-12 00:49:45,Sangat membantu kebutuhan saya👍
Rian Syahputra,5,2024-09-12 00:07:02,Bagus
